Date,Temperature,Flow velocity,CO2 pressure,Internal pressure,Corrosion Inhibitor efficiency,Shear stress,pH,Corrosion rate,month,week,day,day_of_week
2022-03-22,40,1.8,2.0,70,60,5,3.9,4.6,3,12,22,1
2022-03-23,50,1.5,1.0,70,50,4,4.0,3.9,3,12,23,2
2022-03-24,40,1.5,1.0,65,40,4,4.0,4.3,3,12,24,3
2022-03-25,40,1.2,2.0,70,60,3,3.9,4.2,3,12,25,4
2022-03-26,30,1.8,1.0,65,50,5,4.0,2.8,3,12,26,5
2022-03-27,50,1.2,2.0,65,50,3,3.9,5.8,3,12,27,6
2022-03-28,30,1.8,1.0,70,60,5,4.0,2.2,3,13,28,0
2022-03-29,30,1.2,2.0,70,40,3,3.8,4.9,3,13,29,1
2022-03-30,40,1.2,1.5,70,50,3,3.9,4.4,3,13,30,2
2022-03-31,30,1.2,2.0,60,50,3,3.8,4.1,3,13,31,3
2022-04-01,50,1.8,2.0,60,60,5,3.9,5.1,4,13,1,4
2022-04-02,50,1.5,2.0,60,50,4,3.9,6.1,4,13,2,5
2022-04-03,50,1.8,1.5,60,50,5,3.9,5.3,4,13,3,6
2022-04-04,50,1.5,1.0,70,40,4,4.0,4.7,4,14,4,0
2022-04-05,30,1.2,2.0,65,50,3,3.8,4.1,4,14,5,1
2022-04-06,40,1.8,2.0,65,50,5,3.9,5.7,4,14,6,2
2022-04-07,30,1.5,2.0,65,60,4,3.8,3.4,4,14,7,3
2022-04-08,30,1.2,2.0,70,50,3,3.8,4.1,4,14,8,4
2022-04-09,50,1.2,1.5,60,50,3,3.9,4.9,4,14,9,5
2022-04-10,50,1.2,1.0,65,60,3,4.0,3.0,4,14,10,6
2022-04-11,50,1.5,1.5,60,40,4,3.9,6.2,4,15,11,0
2022-04-12,50,1.2,1.0,70,50,3,4.0,3.7,4,15,12,1
2022-04-13,50,1.8,1.5,65,40,5,3.9,6.3,4,15,13,2
2022-04-14,30,1.5,2.0,70,50,4,3.8,4.2,4,15,14,3
2022-04-15,30,1.8,2.0,60,60,5,3.8,3.6,4,15,15,4
2022-04-16,50,1.8,2.0,65,50,5,3.9,6.3,4,15,16,5
2022-04-17,50,1.5,1.0,60,60,4,4.0,3.2,4,15,17,6
2022-04-18,40,1.5,1.0,70,60,4,4.0,2.9,4,16,18,0
2022-04-19,50,1.8,1.0,65,60,5,4.0,3.3,4,16,19,1
2022-04-20,50,1.2,1.5,65,40,3,3.9,5.9,4,16,20,2
2022-04-21,30,1.8,1.5,65,50,5,3.9,3.7,4,16,21,3
2022-04-22,30,1.5,1.0,70,50,4,4.0,2.7,4,16,22,4
2022-04-23,40,1.5,1.0,65,50,4,4.0,3.6,4,16,23,5
2022-04-24,30,1.8,2.0,65,60,5,3.8,3.5,4,16,24,6
2022-04-25,30,1.8,2.0,70,50,5,3.8,4.4,4,17,25,0
2022-04-26,40,1.8,2.0,70,50,5,3.9,5.7,4,17,26,1
2022-04-27,50,1.2,2.0,60,40,3,3.9,7.0,4,17,27,2
2022-04-28,40,1.5,2.0,65,50,4,3.9,5.6,4,17,28,3
2022-04-29,50,1.5,1.5,65,40,4,3.9,6.1,4,17,29,4
2022-04-30,40,1.8,1.0,60,50,5,4.0,3.7,4,17,30,5
2022-05-01,40,1.5,1.5,60,60,4,3.9,3.8,5,17,1,6
2022-05-02,30,1.8,1.0,65,40,5,4.0,3.4,5,18,2,0
2022-05-03,50,1.8,1.0,60,40,5,4.0,4.9,5,18,3,1
2022-05-04,40,1.2,2.0,65,60,3,3.9,4.3,5,18,4,2
2022-05-05,50,1.5,1.5,70,40,4,3.9,6.1,5,18,5,3
2022-05-06,30,1.8,1.0,60,40,5,4.0,3.4,5,18,6,4
2022-05-07,40,1.5,1.0,70,40,4,4.0,4.3,5,18,7,5
2022-05-08,30,1.8,1.0,70,50,5,4.0,2.8,5,18,8,6
2022-05-09,40,1.2,1.0,60,60,3,4.0,2.8,5,19,9,0
2022-05-10,30,1.2,1.0,65,50,3,4.0,2.6,5,19,10,1
2022-05-11,50,1.2,1.0,65,50,3,4.0,3.8,5,19,11,2
2022-05-12,30,1.2,1.5,65,50,3,3.9,3.4,5,19,12,3
2022-05-13,40,1.5,1.5,70,50,4,3.9,4.6,5,19,13,4
2022-05-14,30,1.5,1.0,60,50,4,4.0,2.8,5,19,14,5
2022-05-15,30,1.8,2.0,65,50,5,3.8,4.4,5,19,15,6
2022-05-16,30,1.5,2.0,65,50,4,3.8,4.3,5,20,16,0
2022-05-17,30,1.8,1.5,60,40,5,3.9,4.4,5,20,17,1
2022-05-18,50,1.2,2.0,70,40,3,3.9,6.9,5,20,18,2
2022-05-19,40,1.2,1.0,65,40,3,4.0,4.1,5,20,19,3
2022-05-20,50,1.8,1.5,60,60,5,3.9,4.3,5,20,20,4
2022-05-21,40,1.2,1.5,65,50,3,3.9,4.5,5,20,21,5
2022-05-22,40,1.2,1.5,60,50,3,3.9,4.5,5,20,22,6
2022-05-23,30,1.5,1.5,65,60,4,3.9,2.8,5,21,23,0
2022-05-24,40,1.8,2.0,65,40,5,3.9,6.9,5,21,24,1
2022-05-25,40,1.8,1.5,60,60,5,3.9,3.9,5,21,25,2
2022-05-26,30,1.5,1.0,60,60,4,4.0,2.2,5,21,26,3
2022-05-27,50,1.2,2.0,60,60,3,3.9,4.7,5,21,27,4
2022-05-28,40,1.8,2.0,60,60,5,3.8,4.7,5,21,28,5
2022-05-29,40,1.5,2.0,65,40,4,3.9,6.7,5,21,29,6
2022-05-30,50,1.8,1.5,60,40,5,3.9,6.4,5,22,30,0
2022-05-31,40,1.5,2.0,70,50,4,3.9,5.5,5,22,31,1
2022-06-01,50,1.5,2.0,60,40,4,3.9,7.3,6,22,1,2
2022-06-02,30,1.8,1.0,70,40,5,4.0,3.3,6,22,2,3
2022-06-03,50,1.8,2.0,65,40,5,3.9,7.5,6,22,3,4
2022-06-04,30,1.5,1.0,65,50,4,4.0,2.7,6,22,4,5
2022-06-05,50,1.2,1.0,60,40,3,4.0,4.6,6,22,5,6
2022-06-06,40,1.2,1.5,70,60,3,3.9,3.6,6,23,6,0
2022-06-07,40,1.5,1.0,60,40,4,4.0,4.4,6,23,7,1
2022-06-08,30,1.8,1.5,65,60,5,3.9,2.9,6,23,8,2
2022-06-09,40,1.5,2.0,60,50,4,3.8,5.7,6,23,9,3
2022-06-10,40,1.5,2.0,70,40,4,3.9,6.6,6,23,10,4
2022-06-11,30,1.8,1.5,70,60,5,3.9,2.9,6,23,11,5
2022-06-12,30,1.2,1.0,65,40,3,4.0,3.1,6,23,12,6
2022-06-13,30,1.2,1.0,70,60,3,4.0,2.1,6,24,13,0
2022-06-14,50,1.5,2.0,60,60,4,3.9,4.9,6,24,14,1
2022-06-15,40,1.8,1.0,70,50,5,4.0,3.7,6,24,15,2
2022-06-16,50,1.2,1.5,70,60,3,3.9,3.9,6,24,16,3
2022-06-17,40,1.2,1.0,60,40,3,4.0,4.2,6,24,17,4
2022-06-18,50,1.5,1.0,65,40,4,4.0,4.7,6,24,18,5
2022-06-19,40,1.8,1.5,65,50,5,3.9,4.8,6,24,19,6
2022-06-20,30,1.2,1.0,60,50,3,4.0,2.6,6,25,20,0
2022-06-21,40,1.8,2.0,60,40,5,3.8,7.1,6,25,21,1
2022-06-22,40,1.8,1.0,70,40,5,4.0,4.4,6,25,22,2
2022-06-23,40,1.2,2.0,60,50,3,3.8,5.5,6,25,23,3
2022-06-24,50,1.2,1.0,60,50,3,4.0,3.8,6,25,24,4
2022-06-25,40,1.2,1.5,65,40,3,3.9,5.4,6,25,25,5
2022-06-26,50,1.8,2.0,60,40,5,3.9,7.6,6,25,26,6
2022-06-27,40,1.2,2.0,65,40,3,3.9,6.4,6,26,27,0
2022-06-28,40,1.8,1.5,60,50,5,3.9,4.9,6,26,28,1
2022-06-29,40,1.5,2.0,60,60,4,3.8,4.6,6,26,29,2
2022-06-30,40,1.2,1.0,60,50,3,4.0,3.5,6,26,30,3
2022-07-01,50,1.8,1.5,65,50,5,3.9,5.3,7,26,1,4
2022-07-02,30,1.5,1.5,65,50,4,3.9,3.5,7,26,2,5
2022-07-03,30,1.5,2.0,70,60,4,3.8,3.4,7,26,3,6
2022-07-04,50,1.5,1.5,65,50,4,3.9,5.1,7,27,4,0
2022-07-05,40,1.5,2.0,70,60,4,3.9,4.4,7,27,5,1
2022-07-06,30,1.5,2.0,60,50,4,3.8,4.3,7,27,6,2
2022-07-07,50,1.5,1.0,60,50,4,4.0,4.0,7,27,7,3
2022-07-08,30,1.2,2.0,60,40,3,3.8,5.0,7,27,8,4
2022-07-09,30,1.5,1.5,70,50,4,3.9,3.5,7,27,9,5
2022-07-10,30,1.2,1.5,70,40,3,3.9,4.0,7,27,10,6
2022-07-11,40,1.8,1.5,70,50,5,3.9,4.8,7,28,11,0
2022-07-12,30,1.8,1.5,70,40,5,3.9,4.3,7,28,12,1
2022-07-13,40,1.5,1.5,70,40,4,3.9,5.6,7,28,13,2
2022-07-14,50,1.8,2.0,70,40,5,3.9,7.5,7,28,14,3
2022-07-15,30,1.2,1.0,60,60,3,4.0,2.1,7,28,15,4
2022-07-16,40,1.5,1.0,65,60,4,4.0,2.9,7,28,16,5
2022-07-17,30,1.2,1.5,70,60,3,3.9,2.7,7,28,17,6
2022-07-18,50,1.2,2.0,60,50,3,3.9,5.9,7,29,18,0
2022-07-19,50,1.8,1.5,70,60,5,3.9,4.2,7,29,19,1
2022-07-20,30,1.8,1.0,60,50,5,4.0,2.8,7,29,20,2
2022-07-21,40,1.2,2.0,60,40,3,3.8,6.6,7,29,21,3
2022-07-22,50,1.8,1.0,70,40,5,4.0,4.8,7,29,22,4
2022-07-23,30,1.8,1.0,65,60,5,4.0,2.2,7,29,23,5
2022-07-24,40,1.8,1.0,60,40,5,4.0,4.5,7,29,24,6
2022-07-25,40,1.8,2.0,70,40,5,3.9,6.8,7,30,25,0
2022-07-26,50,1.5,2.0,65,60,4,3.9,4.9,7,30,26,1
2022-07-27,50,1.8,1.0,70,50,5,4.0,4.0,7,30,27,2
2022-07-28,50,1.5,1.5,60,50,4,3.9,5.2,7,30,28,3
2022-07-29,30,1.5,1.0,70,40,4,4.0,3.2,7,30,29,4
2022-07-30,40,1.8,1.0,65,50,5,4.0,3.7,7,30,30,5
2022-07-31,40,1.8,1.0,65,40,5,4.0,4.5,7,30,31,6
2022-08-01,30,1.5,1.0,65,40,4,4.0,3.3,8,31,1,0
2022-08-02,50,1.8,1.5,70,40,5,3.9,6.3,8,31,2,1
2022-08-03,50,1.2,1.5,60,60,3,3.9,3.9,8,31,3,2
2022-08-04,40,1.5,2.0,60,40,4,3.8,6.9,8,31,4,3
2022-08-05,40,1.2,2.0,70,50,3,3.9,5.3,8,31,5,4
2022-08-06,40,1.2,2.0,60,60,3,3.8,4.4,8,31,6,5
2022-08-07,40,1.5,1.0,60,60,4,4.0,2.9,8,31,7,6
2022-08-08,40,1.2,1.0,70,60,3,4.0,2.7,8,32,8,0
2022-08-09,50,1.5,1.5,70,50,4,3.9,5.1,8,32,9,1
2022-08-10,30,1.5,2.0,70,40,4,3.8,5.1,8,32,10,2
2022-08-11,30,1.2,1.5,60,40,3,3.9,4.1,8,32,11,3
2022-08-12,40,1.2,2.0,70,40,3,3.9,6.3,8,32,12,4
2022-08-13,50,1.2,2.0,70,60,3,3.9,4.6,8,32,13,5
2022-08-14,50,1.5,1.5,60,60,4,3.9,4.1,8,32,14,6
2022-08-15,50,1.5,1.0,65,50,4,4.0,3.9,8,33,15,0
2022-08-16,30,1.2,1.5,60,50,3,3.9,3.4,8,33,16,1
2022-08-17,40,1.5,1.5,65,40,4,3.9,5.6,8,33,17,2
2022-08-18,30,1.8,1.5,70,50,5,3.9,3.6,8,33,18,3
2022-08-19,30,1.2,2.0,65,60,3,3.8,3.3,8,33,19,4
2022-08-20,40,1.8,2.0,65,60,5,3.9,4.6,8,33,20,5
2022-08-21,30,1.8,2.0,65,40,5,3.8,5.3,8,33,21,6
2022-08-22,40,1.2,1.5,70,40,3,3.9,5.3,8,34,22,0
2022-08-23,30,1.2,1.5,60,60,3,3.9,2.7,8,34,23,1
2022-08-24,40,1.8,1.5,65,60,5,3.9,3.9,8,34,24,2
2022-08-25,50,1.8,2.0,65,60,5,3.9,5.0,8,34,25,3
2022-08-26,40,1.2,1.0,65,60,3,4.0,2.8,8,34,26,4
2022-08-27,40,1.5,1.5,60,50,4,3.9,4.7,8,34,27,5
2022-08-28,30,1.2,1.5,65,60,3,3.9,2.7,8,34,28,6
2022-08-29,40,1.8,2.0,60,50,5,3.8,5.9,8,35,29,0
2022-08-30,30,1.2,2.0,60,60,3,3.8,3.3,8,35,30,1
2022-08-31,50,1.5,1.5,65,60,4,3.9,4.1,8,35,31,2
